symbol,concept,contexts,types
coatOfArmsOfSeychelles,seychelles,generalOrUnknown,Simulation
coatOfArmsOfSierraLeone,sierraLeone,generalOrUnknown,Simulation
coatOfArmsOfSingapore,singapore,generalOrUnknown,Simulation
coatOfArmsOfSlovakia,slovakia,generalOrUnknown,Simulation
coatOfArmsOfSlovenia,slovenia,generalOrUnknown,Simulation
coatOfArmsOfSolomonIslands,theSolomonIslands,generalOrUnknown,Simulation
coatOfArmsOfSomalia,somalia,generalOrUnknown,Simulation
coatOfArmsOfSOTomAndPríncipe,sOTomAndPríncipe,generalOrUnknown,Simulation
coatOfArmsOfSouthAfrica,southAfrica,generalOrUnknown,Simulation
coatOfArmsOfSouthSudan,southSudan,generalOrUnknown,Simulation
coatOfArmsOfSpain,spain,generalOrUnknown,Simulation
coatOfArmsOfSuriname,suriname,generalOrUnknown,Simulation
coatOfArmsOfSweden,sweden,generalOrUnknown,Simulation
coatOfArmsOfSwitzerland,switzerland,generalOrUnknown,Simulation
coatOfArmsOfSyria,syria,generalOrUnknown,Simulation
coatOfArmsOfTanzania,tanzania,generalOrUnknown,Simulation
coatOfArmsOfTexas,texas,generalOrUnknown,Simulation
coatOfArmsOfTheBagrationiDynasty,georgiaCountry,generalOrUnknown,Simulation
coatOfArmsOfTheBahamas,theBahamas,generalOrUnknown,Simulation
